[raw_daily / RAW]
datetime,open,high,low,close,volume
[/raw_daily / RAW]
[updown_bb / WAVE_S]
datetime,open,high,low,close,volume,upbb_u,upbb_m,upbb_l,rsi,stoch
2026-04-29 08,84100,89000,84100,89000,184099,89801.77,86535.08,83106.75,82.65,81.25
2026-04-29 16,89000,92900,89000,91900,184099,90502.93,86746.76,83260.35,84.15,90.62
2026-04-30 00,91900,91900,87000,87000,184099,91216.26,87054.57,82942.15,86.46,95.31
2026-05-01 08,88500,92900,88500,92800,177142,92039.76,87222.19,82753.23,86.46,97.66
2026-05-02 16,92800,92800,88300,88300,177142,92832.6,87519.27,82449.5,89.1,98.83
2026-05-04 00,88300,88300,86000,88200,177142,93472.71,87735.42,82528.77,76,89.4
2026-05-04 16,89300,89300,86500,87666.667,395037.666666667,93529.98,88079.12,82892.46,75.24,84.07
2026-05-05 08,87666.667,91633.333,87666.667,91633.333,395037.666666667,93432.76,88422.83,83386.02,75.24,81.4
2026-05-06 00,91633.333,94700,91633.333,93800,395037.666666667,93457.2,88814.44,84023.84,77.57,83.93
2026-05-06 08,91200,94100,87200,94100,613918,93741.18,89340.52,84654.65,83.17,91.97
2026-05-06 16,94100,105000,94100,105000,613918,96684.14,89839.38,85178.83,85.61,95.98
2026-05-07 00,105000,111200,105000,106500,613918,101632.89,90831.18,85089.31,92.2,97.99
2026-05-07 08,102400,105666.667,99500,105666.667,344751.666666667,104944.51,92074.67,82453.35,94.11,99
2026-05-07 16,105666.667,114733.333,105666.667,114733.333,344751.666666667,109350.96,93474.47,81616,94.75,99.5
2026-05-08 00,114733.333,119800,114733.333,115800,344751.666666667,114533.3,95248.88,80650.87,96.22,99.75
2026-05-09 00,103900,108833.333,102200,108833.333,209357.333333333,118195.42,97309.51,80116.23,96.61,99.87
2026-05-10 00,108833.333,117166.667,108833.333,117166.667,209357.333333333,120591.76,99376.58,80878.91,96.61,99.94
2026-05-11 00,117166.667,119800,114100,114100,209357.333333333,122621.09,101772.31,82293.09,97.23,99.97
2026-05-11 08,119400,119800,108966.667,108966.667,271599.666666667,123973.57,104146.68,84182.27,97.29,99.98
2026-05-11 16,108966.667,108966.667,99000,100266.667,271599.666666667,123595.6,106203.65,87366.75,88.49,96.57
2026-05-12 00,100266.667,111500,100266.667,111500,271599.666666667,122123.61,107881.4,91727.08,74.47,84.9
2026-05-12 08,114600,119800,111266.667,111266.667,207580,121737.35,109012.14,96126.92,74.47,77.38
2026-05-12 16,111266.667,111266.667,99000,100466.667,207580,120094.07,109946.37,98078.14,76.95,76.85
2026-05-13 00,100466.667,114200,100466.667,114200,207580,118816.22,110647.35,100008.53,72.95,63.66
2026-05-13 08,107000,108600,105200,108600,195463.333333333,118731.28,110780.51,100465.97,69.62,52.52
2026-05-13 16,108600,113800,108600,113800,195463.333333333,118792.26,110730.37,100395.76,69.62,46.95
2026-05-14 00,113800,114400,109800,109800,195463.333333333,118805.58,110805.89,100424.62,72.66,53.13
2026-05-14 08,112600,114000,109366.667,109366.667,273220,118588.14,110552.75,100272,72.66,56.21
2026-05-14 16,109366.667,109366.667,103333.333,103333.333,273220,117734.57,110234.48,101043.61,70.39,62.65
2026-05-15 00,103333.333,103333.333,98800,100300,273220,116802.64,109746.17,100742.38,52.71,39.02
2026-05-16 00,111100,111400,101866.667,101866.667,224836,117511.97,109532.82,100588.41,52.71,41.9
2026-05-17 00,101866.667,101866.667,92033.333,92033.333,224836,117107.51,109175.74,98471.51,46.21,36.84
2026-05-18 00,92033.333,100400,91300,100400,224836,117261.15,108072.54,95622.76,29.49,19.17
2026-05-18 08,97800,97800,91300,91633.333,192702.333333333,117935.36,107046.3,92931.89,29.49,10.33
2026-05-18 16,91633.333,98466.667,91633.333,98466.667,192702.333333333,118334.06,105839.36,90547.6,24.91,9.36
2026-05-19 00,98466.667,102000,98466.667,98700,192702.333333333,118203.66,104632.42,88681.68,24.91,8.88
